Act,Handle,Year,Num
Provisional collection of Taxes Act,19720,2023,50
"Chief Election Commissioner And Other Election Commissioners (Appointment, Conditions of Service And Term of Office) Act",19721,2023,49
Repealing and Amending Act,19719,2023,37
Mediation Act,19637,2023,32
Maritime Anti-Piracy Act,19621,2023,3
Indian Antarctic Act,19581,2022,13
Criminal Procedure (Identification) Act,19029,2022,11
Surrogacy (Regulation) Act,17046,2021,47
Assisted Reproductive Technology (Regulation) Act,17031,2021,42
Dam Safety Act,17002,2021,41
Farm Laws Repeal Act,16976,2021,40
Tribunal Reforms Act,16901,2021,33
Commission For Air Quality Management National Capital Region and Adjoining Areas Act,16898,2021,29
Essential Defence Services Act,16899,2021,25
Inland Vessels Act,17048,2021,24
Marine Aids to Navigation Act,17202,2021,20
"National Institutes Of food Technology, Entrepreneurship And Management Act",16941,2021,19
National Bank For Financing Infrastructure And Development Act,16802,2021,17
National Commission For Allied And Health care Professions Act,16824,2021,14
Major Port Authorities Act,16956,2021,1
Code on Social Security,16823,2020,36
National Forensic Sciences University Act,15623,2020,32
Rashtriya Raksha University Act,15619,2020,31
Bilateral Netting Qualified Financial Contracts Act,15618,2020,30
Jammu and Kashmir Official Languages Act,15512,2020,23
Institute of Teaching and Research In Ayurveda Act,15647,2020,16
National Commission for Homoeopathy Act,15621,2020,15
National Commission for Indian System of Medicine Act,15622,2020,14
Central Sanskrit Universities Act,14004,2020,5
Direct Tax Vivadse Vishwas Act,13812,2020,3
International Financial Services Centers Authority Act,14009,2019,50
Recycling of Ships Act,15690,2019,49
National Capital Territories of Delhi (Recognition of Property Right of Residents in Unauthorised Colonies) Act,13080,2019,45
Dadra and Nagar Haveli And Daman and Diu (Merger of Union Territories) Act,13079,2019,44
"Prohibition of Electronic Cigarettes (Production, Manufacture, Import, Export Transport, Sale, Distribution, Storage and Advertisement) Act",13078,2019,42
Transgender Persons (Protection of Rights) Act,13091,2019,40
Consumer Protection Act,15256,2019,35
Jammu and Kashmir Reorganisation Act,12030,2019,34
Repealing and Amending Act,11956,2019,31
National Medical Commission Act,11820,2019,30
Code On Wages Act,15793,2019,29
Banning of Unregulated Deposit Schemes Act,11641,2019,21
Muslim Women (Protection of Rights on Marriage) Act,11564,2019,20
India International Arbitration Centre Act,11413,2019,17
Central Education Institutions (Reservation in Teacher's Cadre) Act,11008,2019,10
National Sports University Act,4037,2018,25
National Commission for Backward Classes (Repeal) Act,4036,2018,24
Fugitive Economic Offenders Act,4035,2018,17
Repealing and Amendment (Second) Act,2434,2018,4
Indian Institute of Petroleum and Energy Act,2433,2018,3
Repealing and Amendment Act,2432,2018,2
Indian Institute of Management Act,2248,2017,33
Integrated Goods and Services tax (Extension to Jammu and Kashmir) Act,2247,2017,27
Central Goods and Services Tax (Extension to Jammu and Kashmir) Act,2246,2017,26
Indian Institutes of Information Technology (Public-Private Partnership) Act,2245,2017,23
Admiralty (Jurisdiction and Settlement of Maritime Claims) Act,2256,2017,22
Footwear Design and Development Institute Act,2255,2017,20
Human Immunodeficiency Virus and acquired Immune Deficiency Syndrome (Prevention and Control) Act,2254,2017,16
Goods and Services (Compensation to States) Act,2253,2017,15
Union Territory Goods and Services Tax Act,2252,2017,14
Integrated Goods and Services Tax Act,2251,2017,13
Central Goods and Services Act,15689,2017,12
Mental Healthcare Act,2249,2017,10
Specified Bank Notes (Cessation of Liabilities) Act,2244,2017,2
Rights of Persons with Disabilities Act,2155,2016,49
Compensatory Afforestation Fund Act,2151,2016,38
Regional Centre for Biotechnology Act,2153,2016,36
Dr. Rajendra Prasad Central Agricultural University Act,2150,2016,32
Insolvency and Bankruptcy Code,2154,2016,31
Anti-Hijacking Act,2149,2016,30
Repealing and Amendment Act,12141,2016,23
"Aadhaar (Targeted Delivery of Financial and Other Subsidies, Benefits and Services) Act",2160,2016,18
National Waterways Act,2159,2016,17
Real Estate (Regulation and Development) Act,2158,2016,16
Bureau of Indian Standards Act,2157,2016,11
Commercial Courts Act,2156,2016,4
Juvenile Justice (Care and Protection of Children) Act,2148,2016,2
Black Money (Undisclosed Foreign Income and Assets) and Imposition of Tax Act,2147,2015,22
Repealing and Amending (Second) Act,12143,2015,19
Repealing and Amending Act,12142,2015,17
Coal Mines (Special Provisions) Act,2146,2015,11
National Judicial Appointments Commission Act,2142,2014,401
School of Planning and Architecture Act,2138,2014,37
Indian Institute of Information Technology Act,2135,2014,30
National Institute of Design Act,2132,2014,18
